name1,name2,is_match,name1_clean,name2_clean,name1_clean,name2_clean,cosine_sim,sbert_sim,jaro_sim,metaphone_match,soundex_match,Levenshtein,jaccard,token_set_ratio,similar_gender,is_abbreviation,predicted_match,match_probability
nawal yadav,t n yadav,0,nawal yadav,t n yadav,nawal yadav,t n yadav,0.6440409724499885,0.7088754,0.6618566618566618,0,0,5,0.25,0.71,0,0,0,0.10808516
raju murudkar,r gurumukhi,0,raju murudkar,r gurumukhi,raju murudkar,r gurumukhi,0.08977736593386898,0.49380618,0.6975524475524475,0,0,8,0.0,0.5,0,0,0,0.110452875
d n yadav,t n yadav,0,d n yadav,t n yadav,d n yadav,t n yadav,0.8937672055908503,0.8982842,0.9259259259259259,1,0,1,0.5,0.89,0,0,0,0.107185006
rinal modi,narendra modi,0,rinal modi,narendra modi,rinal modi,narendra modi,0.4505087311445647,0.69467247,0.6801282051282053,0,0,6,0.3333333333333333,0.7,1,0,0,0.106695026
dheren mondal,dheerain mandal,0,dheren mondal,dheerain mandal,dheren mondal,dheerain mandal,0.3400030319449199,0.42588192,0.8576068376068375,1,1,4,0.0,0.79,0,0,0,0.20017093
mohan,ve manohar,0,mohan,ve manohar,mohan,ve manohar,0.14768247756821118,0.33149844,0.6333333333333333,0,0,6,0.0,0.53,0,0,0,0.110452875
ranendra chaudhry,nasrun chowdhury,0,ranendra chaudhry,nasrun chowdhury,ranendra chaudhry,nasrun chowdhury,0.07941594479453373,0.48916572,0.7075163398692811,0,0,10,0.0,0.55,0,0,0,0.110452875
nikhil yadav,nikhil khantal,0,nikhil yadav,nikhil khantal,nikhil yadav,nikhil khantal,0.5555720797752599,0.6242783,0.8785714285714286,0,0,5,0.3333333333333333,0.69,0,0,0,0.10765178
bipin chandra pal urologist,c pal,0,bipin chandra pal,c pal,bipin chandra pal,c pal,0.3575342306020606,0.3970201,0.5950980392156863,0,0,12,0.25,0.75,0,1,0,0.12912929
anubha jain,anubha soni,0,anubha jain,anubha soni,anubha jain,anubha soni,0.6482682521877905,0.5794901,0.905050505050505,0,1,4,0.3333333333333333,0.73,1,0,0,0.10862565
sujith kannan,a sujith,0,sujith kannan,a sujith,sujith kannan,a sujith,0.7412695472308144,0.6820221,0.6616300366300366,0,0,9,0.3333333333333333,0.86,0,0,0,0.20736201
rajshree murudkar,r gurumukhi,0,rajshree murudkar,r gurumukhi,rajshree murudkar,r gurumukhi,0.0729429725225745,0.47040528,0.6076203208556149,0,1,12,0.0,0.43,0,0,0,0.110452875
ashok kumar malviya,a k malviya,0,ashok kumar malviya,a k malviya,ashok kumar malviya,a k malviya,0.7625978361841005,0.5889261,0.7373205741626795,0,0,8,0.2,0.78,1,1,0,0.12409581
